#k:30.000000 m:0.010000 mu:-0.010000 Half-Life:1.735145 Freq:8.700000
Time Position Velocity Energy
3.493700 -4.773547 -74.537998 369.580805
3.493600 -4.765950 -75.973201 369.573757
3.493500 -4.758209 -77.406182 369.566863
3.493400 -4.750325 -78.836899 369.560125
3.493300 -4.742299 -80.265307 369.553547
3.493200 -4.734130 -81.691364 369.547131
3.493100 -4.725818 -83.115026 369.540879
3.493000 -4.717364 -84.536253 369.534794
3.492900 -4.708769 -85.954999 369.528878
3.492800 -4.700032 -87.371224 369.523135
3.492700 -4.691153 -88.784883 369.517566
3.492600 -4.682134 -90.195936 369.512174
3.492500 -4.672973 -91.604339 369.506961
3.492400 -4.663672 -93.010049 369.501930
3.492300 -4.654231 -94.413025 369.497084
3.492200 -4.644650 -95.813225 369.492424
3.492100 -4.634929 -97.210606 369.487953
3.492000 -4.625068 -98.605126 369.483673
3.491900 -4.615068 -99.996744 369.479587
3.491800 -4.604930 -101.385417 369.475697
3.491700 -4.594653 -102.771103 369.472005
3.491600 -4.584237 -104.153762 369.468513
3.491500 -4.573684 -105.533351 369.465224
3.491400 -4.562993 -106.909828 369.462139
3.491300 -4.552165 -108.283153 369.459262
3.491200 -4.541199 -109.653285 369.456594
3.491100 -4.530097 -111.020181 369.454137
3.491000 -4.518859 -112.383801 369.451893
3.490900 -4.507485 -113.744103 369.449865
3.490800 -4.495974 -115.101047 369.448054
3.490700 -4.484329 -116.454592 369.446462
3.490600 -4.472549 -117.804697 369.445092
3.490500 -4.460633 -119.151322 369.443946
3.490400 -4.448584 -120.494426 369.443024
3.490300 -4.436401 -121.833968 369.442330
3.490200 -4.424084 -123.169908 369.441866
3.490100 -4.411633 -124.502206 369.441632
3.490000 -4.399050 -125.830822 369.441631
3.489900 -4.386335 -127.155716 369.441864
3.489800 -4.373487 -128.476848 369.442334
3.489700 -4.360508 -129.794177 369.443042
3.489600 -4.347397 -131.107666 369.443990
3.489500 -4.334155 -132.417273 369.445180
3.489400 -4.320783 -133.722959 369.446613
3.489300 -4.307280 -135.024686 369.448290
3.489200 -4.293648 -136.322414 369.450214
3.489100 -4.279887 -137.616103 369.452386
3.489000 -4.265996 -138.905715 369.454808
3.488900 -4.251977 -140.191211 369.457481
3.488800 -4.237830 -141.472553 369.460406
3.488700 -4.223555 -142.749701 369.463585
3.488600 -4.209152 -144.022617 369.467020
3.488500 -4.194623 -145.291262 369.470712
3.488400 -4.179968 -146.555600 369.474661
3.488300 -4.165186 -147.815591 369.478871
3.488200 -4.150279 -149.071197 369.483341
3.488100 -4.135247 -150.322381 369.488073
3.488000 -4.120090 -151.569104 369.493068
3.487900 -4.104809 -152.811331 369.498328
3.487800 -4.089404 -154.049021 369.503854
3.487700 -4.073876 -155.282140 369.509646
3.487600 -4.058224 -156.510649 369.515707
3.487500 -4.042451 -157.734511 369.522036
3.487400 -4.026556 -158.953689 369.528636
3.487300 -4.010539 -160.168147 369.535507
3.487200 -3.994401 -161.377848 369.542649
3.487100 -3.978143 -162.582756 369.550065
3.487000 -3.961765 -163.782834 369.557755
3.486900 -3.945267 -164.978046 369.565720
3.486800 -3.928650 -166.168355 369.573960
3.486700 -3.911915 -167.353727 369.582477
3.486600 -3.895061 -168.534125 369.591271
3.486500 -3.878090 -169.709514 369.600343
3.486400 -3.861002 -170.879858 369.609693
3.486300 -3.843798 -172.045121 369.619324
3.486200 -3.826477 -173.205270 369.629234
3.486100 -3.809041 -174.360268 369.639425
3.486000 -3.791490 -175.510080 369.649897
3.485900 -3.773825 -176.654673 369.660652
3.485800 -3.756045 -177.794012 369.671688
3.485700 -3.738152 -178.928062 369.683008
3.485600 -3.720147 -180.056788 369.694610
3.485500 -3.702029 -181.180158 369.706497
3.485400 -3.683799 -182.298136 369.718667
3.485300 -3.665458 -183.410690 369.731122
3.485200 -3.647006 -184.517785 369.743862
3.485100 -3.628444 -185.619388 369.756887
3.485000 -3.609773 -186.715466 369.770197
3.484900 -3.590992 -187.805986 369.783792
3.484800 -3.572103 -188.890915 369.797674
3.484700 -3.553106 -189.970220 369.811841
3.484600 -3.534001 -191.043868 369.826294
3.484500 -3.514790 -192.111828 369.841033
3.484400 -3.495473 -193.174066 369.856058
3.484300 -3.476050 -194.230550 369.871369
3.484200 -3.456522 -195.281249 369.886966
3.484100 -3.436889 -196.326132 369.902849
3.484000 -3.417153 -197.365165 369.919018
3.483900 -3.397313 -198.398319 369.935473
3.483800 -3.377370 -199.425561 369.952213
3.483700 -3.357325 -200.446861 369.969238
3.483600 -3.337179 -201.462188 369.986549
3.483500 -3.316932 -202.471511 370.004145
3.483400 -3.296585 -203.474799 370.022025
3.483300 -3.276137 -204.472023 370.040189
3.483200 -3.255591 -205.463152 370.058638
3.483100 -3.234946 -206.448156 370.077370
3.483000 -3.214204 -207.427005 370.096384
3.482900 -3.193364 -208.399669 370.115682
3.482800 -3.172427 -209.366120 370.135261
3.482700 -3.151394 -210.326328 370.155122
3.482600 -3.130266 -211.280264 370.175264
3.482500 -3.109044 -212.227899 370.195686
3.482400 -3.087727 -213.169204 370.216388
3.482300 -3.066316 -214.104152 370.237369
3.482200 -3.044813 -215.032712 370.258628
3.482100 -3.023217 -215.954858 370.280164
3.482000 -3.001530 -216.870562 370.301978
3.481900 -2.979752 -217.779796 370.324068
3.481800 -2.957884 -218.682531 370.346432
3.481700 -2.935926 -219.578742 370.369071
3.481600 -2.913879 -220.468401 370.391983
3.481500 -2.891744 -221.351480 370.415168
3.481400 -2.869522 -222.227953 370.438624
3.481300 -2.847212 -223.097794 370.462351
3.481200 -2.824816 -223.960976 370.486347
3.481100 -2.802334 -224.817473 370.510611
3.481000 -2.779767 -225.667259 370.535143
3.480900 -2.757116 -226.510308 370.559941
3.480800 -2.734382 -227.346595 370.585003
3.480700 -2.711564 -228.176094 370.610330
3.480600 -2.688664 -228.998780 370.635919
3.480500 -2.665683 -229.814628 370.661769
3.480400 -2.642620 -230.623614 370.687879
3.480300 -2.619478 -231.425713 370.714248
3.480200 -2.596256 -232.220900 370.740874
3.480100 -2.572955 -233.009152 370.767756
3.480000 -2.549576 -233.790444 370.794893
3.479900 -2.526119 -234.564753 370.822282
3.479800 -2.502586 -235.332055 370.849923
3.479700 -2.478977 -236.092327 370.877815
3.479600 -2.455292 -236.845547 370.905954
3.479500 -2.431533 -237.591690 370.934341
3.479400 -2.407700 -238.330734 370.962973
3.479300 -2.383794 -239.062657 370.991849
3.479200 -2.359815 -239.787437 371.020967
3.479100 -2.335764 -240.505051 371.050325
3.479000 -2.311643 -241.215478 371.079922
3.478900 -2.287451 -241.918697 371.109756
3.478800 -2.263189 -242.614685 371.139825
3.478700 -2.238859 -243.303422 371.170127
3.478600 -2.214461 -243.984886 371.200661
3.478500 -2.189995 -244.659057 371.231424
3.478400 -2.165462 -245.325915 371.262416
3.478300 -2.140864 -245.985438 371.293633
3.478200 -2.116200 -246.637608 371.325074
3.478100 -2.091472 -247.282404 371.356738
3.478000 -2.066680 -247.919806 371.388621
3.477900 -2.041825 -248.549796 371.420722
3.477800 -2.016907 -249.172353 371.453039
3.477700 -1.991929 -249.787459 371.485570
3.477600 -1.966889 -250.395096 371.518313
3.477500 -1.941790 -250.995244 371.551266
3.477400 -1.916631 -251.587885 371.584426
3.477300 -1.891414 -252.173002 371.617791
3.477200 -1.866138 -252.750576 371.651359
3.477100 -1.840806 -253.320590 371.685129
3.477000 -1.815418 -253.883026 371.719097
3.476900 -1.789974 -254.437867 371.753261
3.476800 -1.764476 -254.985096 371.787620
3.476700 -1.738923 -255.524697 371.822170
3.476600 -1.713318 -256.056653 371.856910
3.476500 -1.687660 -256.580948 371.891837
3.476400 -1.661950 -257.097565 371.926949
3.476300 -1.636189 -257.606490 371.962243
3.476200 -1.610378 -258.107705 371.997717
3.476100 -1.584518 -258.601197 372.033368
3.476000 -1.558610 -259.086949 372.069194
3.475900 -1.532653 -259.564948 372.105193
3.475800 -1.506650 -260.035177 372.141361
3.475700 -1.480600 -260.497624 372.177698
3.475600 -1.454505 -260.952273 372.214198
3.475500 -1.428365 -261.399111 372.250862
3.475400 -1.402181 -261.838124 372.287685
3.475300 -1.375954 -262.269299 372.324665
3.475200 -1.349685 -262.692622 372.361799
3.475100 -1.323374 -263.108080 372.399085
3.475000 -1.297022 -263.515661 372.436521
3.474900 -1.270631 -263.915352 372.474103
3.474800 -1.244200 -264.307140 372.511828
3.474700 -1.217731 -264.691014 372.549695
3.474600 -1.191224 -265.066962 372.587700
3.474500 -1.164681 -265.434972 372.625840
3.474400 -1.138101 -265.795032 372.664113
3.474300 -1.111487 -266.147133 372.702516
3.474200 -1.084837 -266.491262 372.741047
3.474100 -1.058155 -266.827409 372.779701
3.474000 -1.031439 -267.155564 372.818477
3.473900 -1.004692 -267.475717 372.857372
3.473800 -0.977913 -267.787857 372.896383
3.473700 -0.951104 -268.091975 372.935506
3.473600 -0.924265 -268.388062 372.974739
3.473500 -0.897397 -268.676108 373.014080
3.473400 -0.870502 -268.956105 373.053525
3.473300 -0.843579 -269.228043 373.093071
3.473200 -0.816630 -269.491914 373.132715
3.473100 -0.789655 -269.747710 373.172455
3.473000 -0.762655 -269.995423 373.212287
3.472900 -0.735632 -270.235045 373.252209
3.472800 -0.708585 -270.466569 373.292217
3.472700 -0.681516 -270.689987 373.332308
3.472600 -0.654426 -270.905293 373.372480
3.472500 -0.627314 -271.112479 373.412729
3.472400 -0.600183 -271.311539 373.453053
3.472300 -0.573033 -271.502467 373.493448
